,POP2014,RPU2014
de 0 à 4 ans,109 057,51663
de 5 à 9 ans,111 888,24738
de 10 à 14 ans,112 728,27012
de 15 à 19 ans,112 377,26631
de 20 à 24 ans,115 342,28086
de 25 à 29 ans,114 526,26827
de 30 à 34 ans,119 963,24574
de 35 à 39 ans,115 022,21374
de 40 à 44 ans,133 821,22952
de 45 à 49 ans,136 354,21162
de 50 à 54 ans,133 082,20022
de 55 à 59 ans,126 502,18720
de 60 à 64 ans,116 235,17290
de 65 à 69 ans,86 803,14635
de 70 à 74 ans,69 792,13772
de 75 à 79 ans,61 411,15707
de 80 à 84 ans,49 098,17692
de 85 à 89 ans,30 171,14385
de 90 à 94 ans,12 639,8076
de 95 ans ou plus,1 962,1411
